,0
0,0.0
1,0.01047527574716791
2,0.020949401996107085
3,0.0314212293747283
4,0.041889608763207534
5,0.05235339142008391
6,0.06281142910831619
7,0.07326257422128395
8,0.08370567990871937
9,0.09413960020255634
10,0.10456319014268252
11,0.11497530590258079
12,0.12537480491484654
13,0.13576054599656653
14,0.1461313894745459
15,0.15648619731036964
16,0.1668238332252844
17,0.17714316282488762
18,0.18744305372360948
19,0.19772237566897446
20,0.20798000066562916
21,0.21821480309912197
22,0.2284256598594221
23,0.23861145046416282
24,0.24877105718159742
25,0.25890336515325274
26,0.2690072625162673
27,0.2790816405254011
28,0.28912539367470314
29,0.29913741981882336
30,0.3091166202939561
31,0.31906190003840096
32,0.3289721677127293
33,0.3388463358195412
34,0.3486833208228015
35,0.3584820432667414
36,0.3682414278943112
37,0.3779604037651735
38,0.38763790437322215
39,0.3972728677636145
40,0.40686423664930454
41,0.41641095852706345
42,0.4259119857929759
43,0.43536627585739773
44,0.4447727912593641
45,0.45413049978043474
46,0.46343837455796394
47,0.47269539419778217
48,0.4819005428862788
49,0.49105281050187183
50,0.5001511927258521
51,0.5091946911525926
52,0.5181823133991077
53,0.5271130732139513
54,0.5359859905854429
55,0.5448000918492087
56,0.5535544097950256
57,0.562247983772958
58,0.5708798597987739
59,0.5794490906586297
60,0.5879547360130125
61,0.5963958624999273
62,0.604771543837319
63,0.613080860924718
64,0.621322901944096
65,0.6294967624599251
66,0.6376015455184246
67,0.6456363617459879
68,0.6536003294467777
69,0.6614925746994781
70,0.6693122314531937
71,0.6770584416224859
72,0.6847303551815331
73,0.6923271302574092
74,0.6998479332224653
75,0.7072919387858071
76,0.7146583300838585
77,0.7219462987699988
78,0.7291550451032668
79,0.7362837780361196
80,0.7433317153012375
81,0.7502980834973665
82,0.7571821181741859
83,0.7639830639161955
84,0.7707001744256108
85,0.777332712604257
86,0.7838799506344544
87,0.7903411700588849
88,0.7967156618594319
89,0.8030027265349833
90,0.8092016741781909
91,0.8153118245511781
92,0.8213325071601841
93,0.8272630613291403
94,0.83310283627217
95,0.8388511911650014
96,0.8445074952152879
97,0.8500711277318287
98,0.8555414781926783
99,0.8609179463121437
100,0.8661999421066547
101,0.8713868859595071
102,0.8764782086844647
103,0.88147335158822
104,0.8863717665317018
105,0.8911729159902247
106,0.8958762731124738
107,0.9004813217783193
108,0.9049875566554516
109,0.9093944832548345
110,0.9137016179849673
111,0.9179084882049511
112,0.9220146322763543
113,0.9260195996138701
114,0.9299229507347613
115,0.9337242573070859
116,0.9374231021967011
117,0.9410190795130364
118,0.944511794653634
119,0.9479008643474504
120,0.951185916696914
121,0.9543665912187357
122,0.9574425388834659
123,0.9604134221537949
124,0.9632789150215928
125,0.9660387030436837
126,0.9686924833763505
127,0.9712399648085679
128,0.9736808677939578
129,0.9760149244814654
130,0.9782418787447517
131,0.9803614862102991
132,0.9823735142842278
133,0.9842777421778196
134,0.9860739609317454
135,0.9877619734389957
136,0.9893415944665099
137,0.990812650675503
138,0.992174980640486
139,0.9934284348669808
140,0.9945728758079245
141,0.9956081778787629
142,0.9965342274712315
143,0.9973509229658225
144,0.9980581747429358
145,0.998655905192713
146,0.9991440487235546
147,0.999522551769317
148,0.999791372795191
149,0.9999504823022591
150,0.9999998628307333
151,0.9999395089618701
152,0.9997694273185659
153,0.9994896365646299
154,0.999100167402736
155,0.998601062571054
156,0.997992376838559
157,0.9972741769990227
158,0.996446541863682
159,0.9955095622525922
160,0.9944633409846606
161,0.9933079928663632
162,0.9920436446791467
163,0.9906704351655167
164,0.989188515013812
165,0.9875980468416699
166,0.9858992051781804
167,0.9840921764447356
168,0.9821771589345715
169,0.9801543627910091
170,0.978024009984395
171,0.9757863342877423
172,0.9734415812510788
173,0.9709900081745013
174,0.9684318840799407
175,0.9657674896816413
176,0.9629971173553566
177,0.9601210711062663
178,0.9571396665356153
179,0.9540532308060823
180,0.9508621026058786
181,0.9475666321115817
182,0.9441671809497104
183,0.94066412215704
184,0.9370578401396688
185,0.9333487306308348
